"","x"
"1172","BTBD6"
"1173","BTBD7"
"1174","BTBD8"
"1175","BTBD9"
"1176","BTD"
"1177","BTF3"
"1178","BTF3L4"
"1179","BTG1"
"1180","BTG2"
"1181","BTG3"
"1182","BTK"
"1183","BTLA"
"1184","BTN2A1"
"1185","BTN2A2"
"1186","BTN3A1"
"1187","BTN3A2"
"1188","BTN3A3"
"1189","BTRC"
"1190","BUB1"
"1191","BUB3"
"1192","BUD13"
"1193","BUD31"
"1194","BYSL"
"1195","BZRAP1"
"1196","BZRAP1-AS1"
"1197","BZW1"
"1198","BZW2"
"1199","C10orf11"
"1200","C10orf12"
"1201","C10orf128"
"1202","C10orf2"
"1203","C10orf35"
"1204","C10orf54"
"1205","C10orf76"
"1206","C10orf88"
"1207","C10orf91"
"1208","C10orf95"
"1209","C11orf1"
"1210","C11orf21"
"1211","C11orf24"
"1212","C11orf31"
"1213","C11orf49"
"1214","C11orf54"
"1215","C11orf57"
"1216","C11orf58"
"1217","C11orf63"
"1218","C11orf65"
"1219","C11orf68"
"1220","C11orf71"
"1221","C11orf73"
"1222","C11orf74"
"1223","C11orf80"
"1224","C11orf84"
"1225","C11orf95"
"1226","C12orf10"
"1227","C12orf29"
"1228","C12orf4"
"1229","C12orf42"
"1230","C12orf43"
"1231","C12orf45"
"1232","C12orf49"
"1233","C12orf57"
"1234","C12orf60"
"1235","C12orf65"
"1236","C12orf66"
"1237","C12orf73"
"1238","C12orf75"
"1239","C12orf76"
"1240","C14orf1"
"1241","C14orf119"
"1242","C14orf142"
"1243","C14orf159"
"1244","C14orf166"
"1245","C14orf169"
"1246","C14orf2"
"1247","C14orf28"
"1248","C14orf79"
"1249","C14orf80"
"1250","C14orf93"
"1251","C15orf39"
"1252","C15orf40"
"1253","C15orf41"
"1254","C15orf48"
"1255","C15orf57"
"1256","C15orf61"
"1257","C15orf65"
"1258","C16orf13"
"1259","C16orf46"
"1260","C16orf52"
"1261","C16orf54"
"1262","C16orf58"
"1263","C16orf62"
"1264","C16orf70"
"1265","C16orf72"
"1266","C16orf74"
"1267","C16orf86"
"1268","C16orf87"
"1269","C16orf91"
"1270","C17orf100"
"1271","C17orf107"
"1272","C17orf51"
"1273","C17orf58"
"1274","C17orf62"
"1275","C17orf67"
"1276","C17orf75"
"1277","C17orf80"
"1278","C17orf89"
"1279","C17orf97"
"1280","C18orf21"
"1281","C18orf25"
"1282","C18orf32"
"1283","C18orf54"
"1284","C18orf8"
"1285","C19orf12"
"1286","C19orf18"
"1287","C19orf24"
"1288","C19orf25"
"1289","C19orf35"
"1290","C19orf38"
"1291","C19orf43"
"1292","C19orf44"
"1293","C19orf47"
"1294","C19orf48"
"1295","C19orf52"
"1296","C19orf53"
"1297","C19orf54"
"1298","C19orf57"
"1299","C19orf60"
"1300","C19orf66"
"1301","C19orf68"
"1302","C19orf70"
"1303","C19orf73"
"1304","C1D"
"1305","C1GALT1"
"1306","C1GALT1C1"
"1307","C1QA"
"1308","C1QBP"
"1309","C1QTNF3"
"1310","C1QTNF6"
"1311","C1RL"
"1312","C1RL-AS1"
"1313","C1orf109"
"1314","C1orf112"
"1315","C1orf122"
"1316","C1orf123"
"1317","C1orf131"
"1318","C1orf132"
"1319","C1orf145"
"1320","C1orf159"
"1321","C1orf162"
"1322","C1orf174"
"1323","C1orf186"
"1324","C1orf198"
"1325","C1orf21"
"1326","C1orf216"
"1327","C1orf228"
"1328","C1orf233"
"1329","C1orf27"
"1330","C1orf35"
"1331","C1orf43"
"1332","C1orf50"
"1333","C1orf52"
"1334","C1orf53"
"1335","C1orf54"
